Ticker,std,r,VaR,ES
CDAY,0.029,0.001,-0.029,-34.986
CINF,0.017,0.001,-0.017,-35.156
DLR,0.016,0.001,-0.016,-35.166
AVY,0.016,0.001,-0.016,-35.173
CAH,0.018,0.0,-0.018,-35.28
HES,0.027,0.001,-0.027,-35.362
KLAC,0.022,0.001,-0.022,-35.437
LW,0.021,0.001,-0.021,-35.591
DD,0.019,0.001,-0.019,-35.682
SNPS,0.016,0.001,-0.016,-35.702
DFS,0.023,0.001,-0.023,-35.714
PKG,0.018,0.001,-0.018,-36.368
ADI,0.019,0.001,-0.019,-36.529
HCA,0.02,0.001,-0.02,-36.558
DDOG,0.039,0.003,-0.039,-36.674
ALGN,0.027,0.002,-0.027,-36.813
FRC,0.017,0.001,-0.017,-36.862
J,0.017,0.001,-0.017,-36.889
ADSK,0.022,0.001,-0.022,-36.932
MAR,0.02,0.001,-0.02,-37.123
FIS,0.016,0.001,-0.016,-37.19
STE,0.015,0.001,-0.015,-37.391
TEL,0.016,0.001,-0.016,-37.498
PNW,0.014,0.0,-0.014,-37.502
EMR,0.017,0.0,-0.017,-37.557
WELL,0.02,0.001,-0.02,-37.56
HSIC,0.016,0.001,-0.016,-37.657
APTV,0.023,0.001,-0.023,-37.693
CBOE,0.016,0.001,-0.016,-38.187
ED,0.013,0.0,-0.013,-38.539
CE,0.019,0.001,-0.019,-38.836
JPM,0.017,0.001,-0.017,-38.89
RMD,0.018,0.001,-0.018,-39.048
D,0.014,0.0,-0.014,-39.466
GL,0.015,0.001,-0.015,-39.561
ALL,0.014,0.001,-0.014,-39.762
QCOM,0.021,0.001,-0.021,-39.888
NOW,0.025,0.002,-0.025,-39.914
LRCX,0.024,0.001,-0.024,-40.076
AME,0.015,0.001,-0.015,-40.082
GE,0.021,0.0,-0.021,-40.095
LYB,0.022,0.001,-0.022,-40.36
HLT,0.018,0.001,-0.018,-40.386
CTAS,0.016,0.001,-0.016,-40.392
DOV,0.016,0.001,-0.016,-40.451
AIZ,0.016,0.001,-0.016,-40.595
LLY,0.016,0.001,-0.016,-40.695
MDT,0.014,0.001,-0.014,-40.716
LHX,0.016,0.001,-0.016,-40.736
V,0.016,0.001,-0.016,-40.87
LULU,0.024,0.001,-0.024,-41.007
YUM,0.016,0.001,-0.016,-41.012
GILD,0.017,0.0,-0.017,-41.124
DTE,0.014,0.001,-0.014,-41.205
AKAM,0.02,0.001,-0.02,-41.469
ISRG,0.019,0.001,-0.019,-41.48
MKTX,0.019,0.001,-0.019,-41.635
FTV,0.017,0.0,-0.017,-41.645
PSX,0.021,0.0,-0.021,-41.746
JKHY,0.013,0.001,-0.013,-41.852
CRM,0.021,0.001,-0.021,-42.27
ETR,0.014,0.001,-0.014,-42.375
CPT,0.015,0.001,-0.015,-42.868
IQV,0.017,0.001,-0.017,-43.485
KMX,0.021,0.001,-0.021,-43.545
PRU,0.02,0.001,-0.02,-43.606
ALLE,0.016,0.001,-0.016,-43.622
ETN,0.017,0.001,-0.017,-43.661
CRL,0.018,0.001,-0.018,-43.714
CHRW,0.015,0.0,-0.015,-43.924
NTRS,0.018,0.001,-0.018,-44.108
ALB,0.023,0.001,-0.023,-44.135
K,0.013,0.0,-0.013,-44.424
OMC,0.016,0.0,-0.016,-44.628
ADBE,0.019,0.001,-0.019,-44.78
CME,0.015,0.001,-0.015,-44.821
QRVO,0.027,0.001,-0.027,-44.881
TGT,0.017,0.001,-0.017,-45.022
MAA,0.015,0.001,-0.015,-45.091
DUK,0.013,0.0,-0.013,-45.26
DGX,0.015,0.001,-0.015,-45.311
IDXX,0.018,0.001,-0.018,-45.349
ZBRA,0.023,0.001,-0.023,-45.505
STT,0.02,0.0,-0.02,-45.579
STZ,0.016,0.001,-0.016,-45.586
POOL,0.016,0.001,-0.016,-45.663
CVS,0.015,0.001,-0.015,-45.745
DHR,0.013,0.001,-0.013,-45.809
VMC,0.02,0.001,-0.02,-46.372
RTX,0.016,0.0,-0.016,-46.395
VRSN,0.016,0.001,-0.016,-46.501
CL,0.012,0.0,-0.012,-46.874
ABC,0.017,0.001,-0.017,-46.941
DG,0.016,0.001,-0.016,-47.959
TSCO,0.017,0.001,-0.017,-48.261
HII,0.017,0.001,-0.017,-48.276
ARE,0.014,0.001,-0.014,-48.281
MSI,0.015,0.001,-0.015,-48.334
IEX,0.014,0.001,-0.014,-48.458
ADP,0.014,0.001,-0.014,-48.74
COF,0.021,0.001,-0.021,-48.991
SPGI,0.016,0.001,-0.016,-49.037
DLTR,0.019,0.001,-0.019,-49.138
WAB,0.02,0.0,-0.02,-49.182
EMN,0.018,0.0,-0.018,-49.792
EXPE,0.026,0.001,-0.026,-49.811
GFS,0.041,0.004,-0.041,-50.151
CCI,0.014,0.001,-0.014,-51.391
DPZ,0.018,0.001,-0.018,-51.762
URI,0.027,0.001,-0.027,-51.792
PM,0.014,0.0,-0.014,-51.88
DVA,0.017,0.0,-0.017,-52.471
OTIS,0.02,0.001,-0.02,-52.797
SPG,0.023,0.0,-0.023,-52.858
SHW,0.015,0.001,-0.015,-52.942
TROW,0.017,0.001,-0.017,-53.453
EFX,0.016,0.001,-0.016,-53.465
WMT,0.012,0.0,-0.012,-53.519
CRWD,0.04,0.003,-0.04,-53.574
PNC,0.017,0.001,-0.017,-53.652
MA,0.017,0.001,-0.017,-53.686
AXP,0.019,0.001,-0.019,-53.97
MCO,0.017,0.001,-0.017,-54.037
CEG,0.038,0.006,-0.038,-54.223
ITW,0.014,0.001,-0.014,-54.359
UNH,0.016,0.001,-0.016,-54.765
CAT,0.018,0.001,-0.018,-55.612
WYNN,0.03,0.0,-0.03,-55.88
DIS,0.016,0.001,-0.016,-56.425
IT,0.018,0.001,-0.018,-56.539
INTU,0.017,0.001,-0.017,-57.088
VRSK,0.014,0.001,-0.014,-57.849
PG,0.011,0.0,-0.011,-57.944
AON,0.014,0.001,-0.014,-58.022
GPC,0.016,0.0,-0.016,-58.502
NDSN,0.018,0.001,-0.018,-58.685
SYK,0.015,0.001,-0.015,-58.935
HD,0.014,0.001,-0.014,-59.768
EL,0.016,0.001,-0.016,-59.853
CVX,0.018,0.0,-0.018,-60.149
NSC,0.017,0.001,-0.017,-60.218
PEP,0.011,0.001,-0.011,-60.394
UNP,0.016,0.001,-0.016,-60.457
HON,0.014,0.001,-0.014,-60.859
SRE,0.015,0.001,-0.015,-61.205
AMT,0.015,0.001,-0.015,-61.296
GD,0.014,0.001,-0.014,-61.867
WDAY,0.024,0.001,-0.024,-62.148
